Date,ZAR,TRY,IDR,CZK,PLN,HUF
2010-01-01,7.340199947357178,,9385.599609375,18.283000946044922,2.8415000438690186,186.63999938964844
2010-01-04,7.264900207519531,1.473099946975708,9364.2001953125,18.1200008392334,2.825000047683716,186.0
2010-01-05,7.3018999099731445,1.4726999998092651,9305.2001953125,18.249099731445312,2.8452999591827393,187.42999267578125
2010-01-06,7.302199840545654,1.4714000225067139,9218.099609375,18.240999221801758,2.837899923324585,186.25999450683594
2010-01-07,7.424099922180176,1.471500039100647,9272.5,18.345600128173828,2.867300033569336,187.97999572753906
2010-01-08,7.341800212860107,1.4579999446868896,9212.7001953125,18.21299934387207,2.81820011138916,185.63999938964844
2010-01-11,7.355299949645996,1.4501999616622925,9148.099609375,18.024999618530273,2.7980000972747803,183.80999755859375
2010-01-12,7.412799835205078,1.4535000324249268,9171.0,18.104000091552734,2.8122000694274902,184.74000549316406
2010-01-13,7.368100166320801,1.4515999555587769,9141.0,17.982999801635742,2.786799907684326,183.5500030517578
2010-01-14,7.360000133514404,1.4549000263214111,9155.7998046875,17.899999618530273,2.7904000282287598,183.69000244140625
2010-01-15,7.378300189971924,1.4559999704360962,9226.099609375,18.020999908447266,2.8153998851776123,186.49000549316406
2010-01-18,7.384300231933594,1.4503999948501587,9130.0,17.94700050354004,2.7860000133514404,185.27000427246094
2010-01-19,7.393700122833252,1.4555000066757202,9229.9501953125,18.034700393676758,2.802500009536743,186.92999267578125
2010-01-20,7.518400192260742,1.4723999500274658,9294.9501953125,18.41189956665039,2.864799976348877,191.8699951171875
2010-01-21,7.539999961853027,1.4859000444412231,9183.0,18.520999908447266,2.900599956512451,192.69000244140625
2010-01-22,7.630799770355225,1.4884999990463257,9240.0,18.402000427246094,2.886699914932251,192.0
2010-01-25,7.542900085449219,1.4860999584197998,9319.9501953125,18.360200881958008,2.871999979019165,192.33999633789062
2010-01-26,7.541999816894531,1.4902000427246094,9379.9501953125,18.49530029296875,2.8896000385284424,192.5
2010-01-27,7.572199821472168,1.4986000061035156,9399.9501953125,18.625,2.9128000736236572,194.14999389648438
