Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
0.07,0.292045454545455,0.52093,0.22,6.76,-0.0433244,2.62,0.894,2.65,1.649090909,0.73,3.8,9.0,10.26
0.07,0.2881,0.52153,0.212,5.14,-0.04796675,2.63,0.87,2.65,1.699,0.73,3.8,9.0,10.52
0.08,0.305333333333333,0.52157,0.212,4.84,-0.0400058571428571,2.65,0.8425,2.65,1.707619048,0.73,3.81,9.0,10.75
0.09,0.32975,0.52665,0.212,4.64,-0.0292094,2.68,0.926,2.65,1.752105263,0.7,3.81,9.0,10.98
0.09,0.324571428571429,0.52744,0.21,4.5,-0.03160255,2.69,0.925,2.65,1.819,0.66,3.82,9.0,11.0
0.1,0.241428571428571,0.54394,0.21,4.59,-0.012441,2.7,0.935,2.65,1.804,0.58,3.44,9.0,11.0
0.09,0.20504347826087,0.55641,0.21,4.57,0.0333333333333333,2.65,0.948,2.65,1.715217391,0.26,3.31,9.0,11.0
0.09,0.191571428571429,0.56119,0.21,4.47,0.038,2.63,0.95,2.52,1.722380952,0.22,3.31,9.0,11.0
0.09,0.0970909090909091,0.56291,0.21,4.44,0.025,2.66,0.9275,2.35,1.700909091,0.19,3.3,9.0,11.0
0.09,0.0826086956521739,0.55836,0.192,4.26,0.04,2.72,0.894,2.21,1.625652174,0.14,3.3,9.0,11.02
0.09,0.0809,0.55628,0.182,4.22,0.0414285714285714,2.75,0.9025,2.14,1.659,0.05,3.3,9.0,11.25
0.12,0.0809047619047619,0.55818,0.179,5.22,0.040234375,2.75,0.902,2.13,1.5345,0.06,3.31,9.0,11.7
0.11,0.0626666666666667,0.5626,0.173,4.98,-0.416666666666667,2.7,0.765,2.13,1.388095238,0.11,3.31,8.5,11.91
0.11,0.0482,0.56363,0.171,5.41,-0.675,2.36,0.5325,2.12,1.38,-0.02,3.31,8.5,12.25
0.11,0.0271818181818182,0.56436,0.17,5.18,-0.788842625,2.3,0.5525,1.95,1.38,-0.11,3.33,8.5,12.69
0.12,0.0047,0.5695,0.17,4.1,-0.685416666666667,2.25,0.618,1.81,1.47,-0.26,3.31,8.25,12.77
0.12,-0.0103684210526316,0.56798,0.169,3.11,-0.81541675,2.15,0.6575,1.8,1.49,-0.27,3.31,8.25,13.25
0.13,-0.0139090909090909,0.57188,0.169,3.35,-0.767575833333333,2.15,0.61,1.7,1.35,-0.32,3.31,8.25,13.7
0.13,-0.0187391304347826,0.58084,0.169,3.21,-0.7443055,2.14,0.47,1.65,1.27,-0.48,3.32,8.25,13.78
0.14,-0.0276666666666667,0.5867,0.169,3.05,-0.78125,2.14,0.385,1.64,1.2,-0.46,3.35,8.25,14.25
0.14,-0.0370454545454546,0.58576,0.169,3.16,-0.756176166666667,2.17,0.4,1.6,1.16,-0.48,3.36,8.25,14.25
0.12,-0.0535909090909091,0.58006,0.169,3.19,-0.845,2.15,0.4025,1.58,1.11,-0.44,3.32,7.75,14.25
0.12,-0.0876190476190476,0.57371,0.169,3.06,-0.680833,2.22,0.4525,1.59,1.15,-0.36,3.38,7.75,14.25
0.24,-0.126318181818182,0.58277,0.169,2.97,-0.740213833333333,2.34,0.484,1.67,1.14,-0.38,3.5,7.75,14.25
0.34,-0.14615,0.58976,0.169,3.19,-0.745873,2.3,0.435,1.67,1.16,-0.46,3.59,7.75,14.25
0.38,-0.183571428571429,0.59073,0.098,2.95,-0.8886364,2.28,0.4575,1.64,1.09,-0.5,3.78,7.75,14.25
0.36,-0.22852380952381,0.58825,0.098,2.77,-0.774167,2.31,0.46,1.63,1.02,-0.59,4.11,7.75,14.25
0.37,-0.249190476190476,0.5889,0.06,2.95,-0.746875,2.26,0.5125,1.61,0.98,-0.59,4.12,7.0,14.25
0.37,-0.257181818181818,0.58929,0.06,2.89,-0.765375,2.0,0.5075,1.58,0.98,-0.6,4.14,7.0,14.25
0.38,-0.267909090909091,0.57468,0.059,2.87,-0.718645,1.99,0.51,1.43,1.02,-0.63,4.21,7.0,14.25
0.39,-0.294523809523809,0.5136,0.058,2.87,-0.77,1.93,0.5,1.36,1.01,-0.67,4.66,7.0,14.25
0.4,-0.298217391304348,0.40613,0.058,2.77,-0.75,1.76,0.506,1.35,1.08,-0.74,4.69,7.0,14.25
0.4,-0.301636363636364,0.37907,0.056,2.81,-0.75,1.73,0.505,1.34,1.09,-0.75,4.72,7.0,14.25
0.4,-0.309,0.3975,0.056,2.91,-0.75,1.74,0.4875,1.35,1.11,-0.75,5.19,6.75,14.15
0.41,-0.312681818181818,0.39773,0.056,3.35,-0.76,1.76,0.48,1.42,1.1,-0.79,5.59,6.75,14.0
0.54,-0.315761904761905,0.37226,0.056,4.77,-0.8,1.78,0.4775,1.54,1.16,-0.79,6.02,6.75,13.75
0.65,-0.325545454545455,0.3621,0.056,4.57,-0.93,1.78,0.45,1.5,1.08,-0.77,6.28,6.75,13.27
0.66,-0.3286,0.35674,0.056,5.51,-0.803778166666667,1.78,0.465,1.49,1.02,-0.69,6.57,6.75,12.84
0.79,-0.329347826086957,0.34567,0.056,4.86,-0.815,1.79,0.498,1.48,0.96,-0.63,6.78,6.75,12.25
0.9,-0.330388888888889,0.33513,0.056,4.4,-0.7901191,1.77,0.535,1.43,0.98,-0.63,6.93,6.5,11.65
0.91,-0.329454545454545,0.31081,0.056,4.86,-0.89770825,1.73,0.512,1.39,0.9,-0.62,7.05,6.5,11.25
1.04,-0.33,0.29442,0.056,5.13,-0.775,1.72,0.565,1.38,0.87,-0.67,7.31,6.5,10.25
1.15,-0.330428571428571,0.2931,0.075,4.35,-0.805833333333333,1.7,0.73,1.39,0.84,-0.75,7.38,6.25,10.09
1.16,-0.329086956521739,0.28119,0.056,4.48,-0.815,1.7,0.722,1.39,0.8,-0.73,7.39,6.25,9.25
1.15,-0.329380952380952,0.30911,0.056,4.59,-0.84525,1.72,0.98,1.38,0.8,-0.71,7.39,6.25,8.48
1.15,-0.329545454545455,0.38187,0.063,4.7,-0.925185222222222,1.7,0.96,1.38,0.82,-0.68,7.4,6.25,8.1
1.16,-0.329,0.51857,0.063,4.76,-0.906642166666667,1.72,0.88,1.45,0.78,-0.71,7.41,6.25,7.5
