Date,EUR,GBP,AUD,JPY,CHINA,CHF,CAD,HKD,SGD,KRW,NOK,SEK,MXN,INDIA,BRL
31/03/2010,0.057305779659213886,0.06974780681732787,0.00826934317303344,-0.04144389689931886,8.806225506545279e-05,0.042798541851822,-0.006253898149807111,0.0008892513264701326,0.0028592357087731616,0.008529356610970734,0.03719612711898637,0.017622631437891497,-0.01118750986346064,-0.005632804992706448,0.007822711332788149
01/04/2010,0.04734642280544868,0.05711928094858124,0.007268122687533971,-0.03347429644543189,-0.00016138356793832253,0.03217487348588502,-0.007434945549754176,0.0008441733471503301,0.001688141105180685,0.0016632982604650748,0.02671481104132356,0.006250046490273033,-0.008757445356334269,-0.012436065179505547,0.028938189113702585
02/04/2010,0.058615383102696914,0.0636297785715462,0.02275100779483151,-0.03521815561503521,-0.00024934895843501255,0.04695338369070839,-0.0006785875558831604,0.0011470963839090899,0.005810931824860263,0.011522160861095915,0.044236135883106265,0.011107162950336213,-0.0025150002928225673,-0.0010942784839351426,0.03238915013331724
05/04/2010,0.04932046347297888,0.05157919822727706,0.010771493342770073,-0.0345331210871275,-0.00019067469277043607,0.03936580142710329,-0.005041728610551896,0.0009280096779609297,0.002572900891978144,0.0025520539277803754,0.032680167902975545,-0.001700441424200486,-0.010723252405094894,-0.005222838107753854,0.022236437052652804
06/04/2010,0.05668437693531938,0.0632548241663887,0.018241554963912693,-0.025954475398154257,-7.337298753471523e-05,0.04806418929926933,-0.0018467964280052406,0.00032745344437996063,0.0037505512383599194,0.00727475964585672,0.04184015877723462,0.0049644188465217,-0.001451692540874009,-0.0025957476461351435,0.029973547952616808
07/04/2010,0.06434628804070783,0.0704805148478873,0.015498370230726973,-0.02310068557713911,0.00013199333871466735,0.05510721734049873,-0.006794134508403001,0.0005466133699396599,0.007500622575306354,0.009497209597016497,0.050023478351060545,0.013617352256376565,-0.008676063716885412,0.004224002584260997,0.02847576883827442
08/04/2010,0.05928423487133389,0.07597284107620741,0.00715402641689658,-0.006719943764981924,-7.331269688819997e-05,0.04950036023978408,-0.013368314033443277,0.000514436688497126,0.004768723144332984,0.0054142724883612025,0.03635940864703352,0.008770444393218052,-0.016859078387902227,-0.006774587216792259,0.017516762383989633
09/04/2010,0.059472264345220904,0.07747114592870684,0.009382872480241495,-0.008622545988531637,-8.807115160613683e-05,0.04852800886831567,-0.007107092344407251,0.0004306008593308243,0.007274326571563046,0.010573668082902577,0.04001541134209244,0.013433612213422886,-0.00999939823689758,-0.0008356947003110384,0.013144243082518943
12/04/2010,0.05165425276845996,0.0708966733979027,0.017815632467812346,-0.00799750557521602,-0.000234703794360395,0.03672171324201466,-0.004406717243192558,-2.5819560440843684e-05,0.004891080826924305,0.005428354152886416,0.033084287149763435,0.00526747369776348,-0.012085226609215195,-0.0014275845959625354,-0.0017587698534678173
13/04/2010,0.05085216318205604,0.07765323935217813,0.009824202909532722,-0.004749556735794484,-0.0001320009387635749,0.03508795005702477,-0.00986384930009911,-0.0002255311406007216,0.004878712433634635,0.00896307608762502,0.03361956689286364,0.006476514446516893,-0.012288067406778402,-0.005363411677958639,-0.0017017537769334712
